iter	Passed	Remaining
0	2	284
1	5	248
2	7	227
3	8	206
4	10	200
5	12	190
6	13	183
7	15	177
8	17	178
9	19	174
10	20	166
11	21	160
12	23	155
13	24	150
14	25	146
15	27	142
16	28	138
17	29	134
18	30	130
19	31	127
20	33	124
21	34	121
22	35	118
23	36	115
24	37	113
25	38	110
26	39	107
27	40	105
28	47	115
29	52	122
30	55	122
31	57	122
32	60	122
33	62	120
34	64	119
35	65	117
36	67	115
37	69	113
38	71	111
39	73	109
40	74	107
41	75	103
42	76	101
43	77	99
44	79	96
45	80	94
46	82	92
47	83	90
48	84	88
49	85	85
50	87	83
51	88	81
52	89	79
53	90	77
54	91	74
55	92	72
56	95	71
57	103	74
58	106	74
59	109	72
60	111	71
61	114	69
62	116	68
63	118	66
64	120	64
65	122	62
66	124	61
67	125	59
68	127	57
69	128	55
70	131	53
71	132	51
72	134	49
73	136	48
74	138	46
75	140	44
76	141	42
77	142	40
78	143	38
79	144	36
80	145	34
81	146	32
82	148	30
83	150	28
84	159	28
85	162	26
86	164	24
87	167	22
88	169	20
89	172	19
90	174	17
91	176	15
92	178	13
93	180	11
94	181	9
95	183	7
96	184	5
97	186	3
98	187	1
99	189	0
