iter	Passed	Remaining
0	15	15157
1	28	14326
2	31	10507
3	40	10086
4	42	8546
5	45	7491
6	47	6798
7	87	10836
8	143	15826
9	168	16714
10	188	16905
11	198	16382
12	220	16727
13	225	15876
14	235	15491
15	238	14652
16	240	13896
17	242	13228
18	246	12734
19	248	12189
20	250	11681
21	251	11201
22	253	10764
23	254	10363
24	256	9995
25	257	9646
26	267	9623
27	273	9498
28	278	9327
29	281	9094
30	283	8864
31	287	8708
32	290	8503
33	291	8292
34	295	8145
35	297	7958
36	304	7922
37	305	7736
38	306	7558
39	307	7390
40	309	7228
41	310	7081
42	311	6938
43	313	6801
44	314	6672
45	315	6545
46	328	6668
47	335	6655
48	338	6576
49	340	6477
50	343	6390
51	345	6298
52	349	6241
53	351	6154
54	353	6065
55	354	5975
56	358	5931
57	362	5883
58	375	5984
59	382	5990
60	386	5945
61	389	5899
62	392	5840
63	397	5811
64	399	5743
65	401	5681
66	403	5619
67	405	5556
68	407	5493
69	410	5452
70	412	5391
71	413	5335
72	415	5276
73	416	5217
74	418	5162
75	420	5107
76	421	5056
77	423	5004
78	436	5089
79	444	5113
80	447	5072
81	449	5029
82	450	4980
83	453	4942
84	457	4923
85	459	4884
86	461	4843
87	463	4801
88	464	4758
89	466	4714
90	467	4674
91	480	4744
92	488	4764
93	492	4744
94	499	4759
95	507	4781
96	509	4743
97	511	4706
98	513	4670
99	515	4639
100	527	4692
101	539	4747
102	543	4729
103	546	4705
104	548	4677
105	551	4648
106	552	4613
107	554	4583
108	557	4553
109	559	4527
110	564	4522
111	574	4551
112	578	4541
113	581	4522
114	585	4506
115	587	4479
116	589	4451
117	591	4424
118	594	4398
119	595	4368
120	597	4338
121	598	4307
122	600	4279
123	605	4275
124	614	4304
125	623	4324
126	626	4307
127	630	4297
128	634	4285
129	636	4258
130	637	4231
131	639	4205
132	641	4178
133	642	4152
134	645	4139
135	648	4118
136	649	4092
137	650	4066
138	652	4039
139	653	4014
140	654	3989
141	655	3960
142	656	3935
143	657	3910
144	661	3897
145	669	3914
146	679	3944
147	682	3926
148	684	3907
149	686	3888
150	691	3888
151	693	3866
152	694	3846
153	696	3825
154	698	3805
155	699	3784
156	700	3763
157	704	3753
158	706	3734
159	707	3713
160	708	3689
161	709	3668
162	710	3647
163	711	3626
164	712	3605
165	713	3585
166	714	3565
167	715	3545
168	730	3592
169	736	3596
170	739	3585
171	742	3572
172	744	3558
173	746	3543
174	748	3529
175	751	3517
176	753	3501
177	754	3484
178	755	3467
179	757	3449
180	758	3432
181	760	3418
182	763	3409
183	786	3489
184	791	3485
185	792	3469
186	797	3467
187	799	3453
188	801	3437
189	803	3424
190	804	3408
191	806	3392
192	807	3376
193	809	3361
194	811	3351
195	817	3354
196	824	3360
197	831	3367
198	834	3357
199	837	3348
200	839	3336
201	843	3332
202	846	3322
203	847	3308
204	849	3293
205	850	3280
206	852	3265
207	857	3263
208	858	3250
209	860	3236
210	861	3222
211	863	3208
212	864	3194
213	865	3180
214	867	3165
215	868	3151
216	896	3233
217	898	3222
218	900	3211
219	909	3224
220	912	3215
221	914	3206
222	916	3194
223	960	3326
224	996	3433
225	1005	3443
226	1007	3430
227	1073	3633
228	1076	3625
229	1104	3696
230	1107	3686
231	1124	3721
232	1126	3709
233	1159	3794
234	1166	3795
235	1168	3781
236	1169	3766
237	1171	3750
238	1172	3734
239	1174	3719
240	1179	3713
241	1180	3698
242	1182	3682
243	1183	3667
244	1184	3651
245	1185	3634
246	1187	3618
247	1188	3602
248	1189	3586
249	1198	3595
250	1205	3595
251	1213	3601
252	1217	3593
253	1223	3592
254	1225	3580
255	1227	3567
256	1230	3557
257	1232	3543
258	1233	3529
259	1235	3515
260	1239	3510
261	1241	3495
262	1242	3481
263	1243	3466
264	1244	3451
265	1245	3437
266	1250	3432
267	1260	3441
268	1271	3454
269	1283	3471
